FID_1,X,Y,ID,Ni,Zn,Cr,SIGLE_PEDO,region_etm,GS
587,87194,160480,02/LA06306,8,27.2894736842,16.9393939394,(u)-Ldc2_3,1,3
537,90548,158041,02/LA05627,9,28.6052631579,25.0202020202,(x)Ldc,1,3
222,75270,137274,00941J,10.4,52.0808080808,20.4845360825,(x)Lda1,1,3
552,90628,155446,02/LA05824,16,54.9210526316,25.0202020202,(x)Ldc,1,3
477,89151,154427,02/LA04369,14,60.1842105263,27.0404040404,(x)Ldc,1,3
209,73429,138303,00941-K,11.3,54.202020202,29.2474226804,(x)Ldc0,1,3
13,87273,158024,00102F-2010,9.05,30.3636363636,25.0206185567,(x)Ada,1,4
534,93205,155969,02/LA05624,,40.4473684211,20.9797979798,(x)Lda,1,3
554,90124,156859,02/LA05827,11,44.3947368421,25.0202020202,(x)Ldc,1,3
72,89344,140753,00418B2010,15.1,62.7878787879,23.0618556701,(x)Ldc,1,3
221,75315,137469,00941I,9.63,48.2424242424,27.2886597938,(x)Lda0,1,3
223,75596,135925,00941P-2010,,48.3434343434,19.1443298969,(x)Ldc1,1,3
334,80196,153482,01041-C,,46.8282828283,26.3608247423,(x)Ldc,1,3
425,80508,142589,02/LA01477,14,53.6052631579,15.9292929293,Aba1,1,4
35,76607,141842,00288B-2010,14.1,49.0505050505,25.6391752577,Aba1,1,4
31,78720,143624,00251A-2010,13.8,52.9898989899,18.0103092784,Aba1,1,4
601,82245,142470,02/LA06420,14,69.3947368421,19.9696969697,Abp(c),1,4
616,87017,158193,02/LA08346,3,43.0789473684,29.0606060606,Ada,1,4
252,85411,157979,00978-C,10.9,46.0202020202,30.4845360825,Aca,1,4
92,72646,151900,00596B-2010,17.4,54,26.1546391753,Adb,1,4
108,72444,151711,00899A-2010,17.7,70.3636363636,34.8144329897,Adb,1,4
109,72400,151700,00899A2010,17.7,70.3636363636,34.8144329897,Adb,1,4
91,72697,151697,00596A-2010,14.3,50.7676767677,21.412371134,Ada0,1,4
385,73321,152107,01281D2010,13.3,42.5858585859,26.8762886598,Ada0,1,4
386,73321,152107,01281E2010,12.7,43.1919191919,24.7113402062,Ada0,1,4
110,72197,154091,00899B-2010,15.7,58.2424242424,27.8041237113,Ada0,1,4
111,73184,150549,00899C-2010,19.6,64.303030303,35.3298969072,Adb,1,4
208,76243,153753,00941-H,11.6,44.8080808081,19.5567010309,Ada0,1,4
585,85532,157397,02/LA06304,,72.0263157895,,Adb,1,4
615,87011,149356,02/LA08345,16,93.0789473684,41.1818181818,Ada1,1,4
73,88170,139402,00418C-2010,13.7,63.898989899,19.9690721649,Ada1,1,4
607,88491,158775,02/LA07317,,66.7631578947,49.2626262626,Eep,1,1
443,92946,155032,02/LA02122,,19.3947368421,24.0101010101,Eepy,1,1
625,93044,154882,02/LA2123,,70.7105263158,17.9494949495,Eepy,1,1
668,83288,158947,03/LA02250,9,,19.9696969697,Lba,1,3
669,83104,158880,03/LA02251,9,,19.9696969697,Lba,1,3
569,90607,160094,02/LA06088,12,53.6052631579,14.9191919192,Lba,1,3
594,91631,160171,02/LA06313,15,47.0263157895,24.0101010101,Lba,1,3
57,87307,159962,00352B-2010,9.23,48.9494949495,20.8969072165,Lca,1,3
595,91311,160194,02/LA06314,14,41.7631578947,19.9696969697,Lca,1,3
60,86130,159907,00383C-2010,11.7,32.7878787879,16.0515463918,Lba,1,3
394,84389,158636,01493A2010,9.83,35.3131313131,22.8556701031,Lca,1,3
418,85034,158487,02/LA01042,,114.131578947,13.9090909091,Lca,1,3
489,83964,159122,02/LA04609,7,35.1842105263,13.9090909091,Lca,1,3
691,83345,158577,03/LA02973,13,,27.0404040404,Lca,1,3
492,83569,158864,02/LA04612,,39.1315789474,13.9090909091,Lba,1,3
650,88418,159664,03/LA00985,11,,25.0202020202,Lba,1,3
647,86629,149324,03/LA00417,21,,37.1414141414,Ldc1,1,3
207,76814,153011,00941-G,9.1,37.7373737374,17.7010309278,Lba0,1,3
645,88354,159710,03/LA00415,11,,25.0202020202,Lbp,1,3
685,84238,155824,03/LA02961,15,,30.0707070707,Ldc0,1,3
556,87650,160094,02/LA05829,10,47.0263157895,17.9494949495,Lbp,1,3
652,91564,156456,03/LA01187,,,31.0808080808,Ldc0,1,3
490,82236,149326,02/LA04610,19,56.2368421053,23,Lda1,1,3
617,89656,144204,02/LA08347,6,66.7631578947,26.0303030303,Ldc,1,3
574,88393,158781,02/LA06093,,37.8157894737,21.9898989899,Ldcz,1,3
649,91291,159297,03/LA00984,,,27.0404040404,Lcp,1,3
483,93620,154878,02/LA04376,11,36.5,19.9696969697,Lda0,1,3
280,89571,159778,00979-L,16.8,51.9797979798,44.4020618557,Lcp,1,3
588,88622,159577,02/LA06307,8,35.1842105263,15.9292929293,Lcp,1,3
52,80679,155776,00305-C,6.84,30.6666666667,12.0309278351,Lda0,1,3
53,80470,155712,00305-D,6.45,31.2727272727,11.5154639175,Lda0,1,3
253,80112,155256,00978-K,9.72,36.3232323232,26.5670103093,Lda0,1,3
254,79994,155306,00978-L,,41.6767676768,29.8659793814,Lda0,1,3
666,79606,155489,03/LA02018,9,,32.0909090909,Lda0,1,3
424,87358,159123,02/LA01476,,33.8684210526,17.9494949495,Ldp,1,3
74,81200,153800,00433A2010,11.1,40.8686868687,18.2164948454,Lda0,1,3
215,81412,153763,00941B-2010,9.23,34.404040404,15.4329896907,Lda0,1,3
216,81400,153800,00941B2010,9.23,34.404040404,15.4329896907,Lda0,1,3
217,81400,153800,00941C2010,9.15,37.5353535353,12.9587628866,Lda0,1,3
219,81238,153570,00941E-2010,8.63,31.6767676768,14.7113402062,Lda0,1,3
411,86184,146292,02/LA01034,11,61.5,11.8888888889,Ldp(c),1,3
648,85155,154319,03/LA00671,12,,27.0404040404,Ldc0,1,3
218,80250,153739,00941D-2010,7.37,32.0808080808,14.1958762887,Ldc0,1,3
211,73788,138061,00941-M,11.3,56.2222222222,23.7835051546,Lda0,1,3
96,78462,152982,00630-,14.5,80.3636363636,24.6082474227,Lep,1,3
592,86895,158063,02/LA06311,9,56.2368421053,16.9393939394,Lda,1,3
277,84486,146617,00979-F,,55.5151515152,29.7628865979,Lba,1,3
77,82415,154942,00449C-2010,,46.3232323232,23.2680412371,Ldc0,1,3
498,81277,156225,02/LA04619,8,43.0789473684,21.9898989899,Lda,1,3
687,82525,157125,03/LA02969,15,,28.0505050505,Lda,1,3
690,82292,156685,03/LA02972,,,27.0404040404,Lda,1,3
79,86160,155576,00449E-2010,,54,15.0206185567,Ldc1,1,3
274,85891,155509,00979-C,15.2,52.4848484848,47.8041237113,Ldc1,1,3
651,91388,159691,03/LA00986,13,,26.0303030303,Lcc,1,3
589,87015,157561,02/LA06308,,45.7105263158,20.9797979798,Ldcy,1,3
278,84664,146496,00979-G,12.2,55.3131313131,31.5154639175,Lcp(c),1,3
336,83437,154692,01041E-2010,12.4,49.1515151515,27.0824742268,Ldc1,1,3
420,82263,155742,02/LA01184,11,40.4473684211,15.9292929293,Lda,1,3
333,83638,156459,01041-A,15.2,51.1717171717,36.5670103093,Lda,1,3
692,82719,156366,03/LA02974,,,43.202020202,Lda,1,3
539,81181,153262,02/LA05631,9,45.7105263158,26.0303030303,Lhc,1,3
78,86315,157101,00449D-2010,13.8,52.3838383838,22.3402061856,Ldc,1,3
590,86876,157320,02/LA06309,9,47.0263157895,18.9595959596,Ldc,1,3
368,87463,157048,01111A-2010,11.4,45.0101010101,17.8041237113,Ldc,1,3
475,84351,155327,02/LA04367,16,37.8157894737,20.9797979798,Ldc1z,1,3
442,90668,157509,02/LA02121,8,39.1315789474,15.9292929293,Ldc1,1,3
413,86365,159189,02/LA01036,9,50.9736842105,12.898989899,Ldc,1,3
553,89752,157876,02/LA05825,12,49.6578947368,21.9898989899,Lcc,1,3
56,87159,159857,00352A-2010,10.1,44.7070707071,21.7216494845,Ldp,1,3
251,86652,159523,00978-B,8.74,36.3232323232,22.5463917526,Ldp,1,3
555,89740,158014,02/LA05828,12,54.9210526316,23,Ldc,1,3
499,85949,154875,02/LA04620,8,48.3421052632,21.9898989899,Ldc1,1,3
562,85754,154748,02/LA05835,14,57.5526315789,23,Ldc1,1,3
76,85464,155314,00449B-2010,15.6,48.2424242424,22.8556701031,Ldc1,1,3
646,92226,155224,03/LA00416,18,,29.0606060606,Ldc1,1,3
335,82145,154565,01041D-2010,16.8,58.0404040404,30.2783505155,Ldb,1,3
373,81500,154313,01156A-2010,14.8,69.4545454546,27.5979381443,Ldb,1,3
395,81842,156213,01493B2010,,63.4949494949,44.0927835052,Ldb,1,3
686,82402,157763,03/LA02968,11,,23,Lcay,1,3
410,86868,146360,02/LA01033,10,56.2368421053,10.8787878788,Lcp(c),1,3
264,87410,158273,00978F,,39.0505050505,28.7319587629,Ldc,1,3
265,86400,158500,00978G,,50.3636363636,39.2474226804,Ldc,1,3
415,86990,158288,02/LA01038,11,40.4473684211,13.9090909091,Ldc,1,3
416,87176,158480,02/LA01040,14,43.0789473684,15.9292929293,Ldc,1,3
417,86877,158905,02/LA01041,8,33.8684210526,10.8787878788,Ldc,1,3
591,87921,158439,02/LA06310,12,43.0789473684,19.9696969697,Ldc,1,3
671,83365,158176,03/LA02253,12,,26.0303030303,Ldc,1,3
212,73687,137993,00941-N,,56.0202020202,23.0618556701,Lhp(c),1,3
75,84968,153560,00449A-2010,12.7,44.6060606061,23.2680412371,Ldc0,1,3
571,89215,158395,02/LA06090,10,35.1842105263,12.898989899,Ldc,1,3
572,89116,158272,02/LA06091,,39.1315789474,10.8787878788,Ldc,1,3
493,85746,153656,02/LA04613,9,44.3947368421,16.9393939394,Ldc1,1,3
496,84826,152810,02/LA04616,12,52.2894736842,26.0303030303,Ldp0,1,3
414,87403,158109,02/LA01037,10,43.0789473684,11.8888888889,Ldaz,1,3
497,84437,152814,02/LA04618,11,57.5526315789,25.0202020202,Ldp(c),1,3
479,93380,155136,02/LA04372,12,41.7631578947,18.9595959596,Ldc0,1,3
480,93531,155099,02/LA04373,13,44.3947368421,20.9797979798,Ldc0,1,3
536,93054,155195,02/LA05626,,41.7631578947,27.0404040404,Ldc0,1,3
603,85800,159734,02/LA06463,4,36.5,15.9292929293,Ldp/o,1,3
535,93011,155092,02/LA05625,15,69.3947368421,25.0202020202,Ldp(c),1,3
286,85847,150904,00979H,,58.9494949495,40.6907216495,Ldp(c),1,3
586,87188,159631,02/LA06305,9,40.4473684211,17.9494949495,Ldc,1,3
602,86159,158674,02/LA06461,,39.1315789474,16.9393939394,Ldc,1,3
593,86597,156716,02/LA06312,15,50.9736842105,24.0101010101,Ldpy,1,3
275,84625,155846,00979-D,,75.6161616162,45.5360824742,Ldc1z,1,3
287,93254,154525,00979I-2010,,55.6161616162,41.5154639175,LDp(c),1,3
288,93200,154500,00979I2010,16.4,55.6161616162,41.5154639175,LDp(c),1,3
289,93200,154500,00979J2010,17.3,58.6464646465,45.0206185567,LDp(c),1,3
491,84153,159482,02/LA04611,5,35.1842105263,14.9191919192,Pbp,1,3
444,87205,146163,02/LA02124,4,32.5526315789,11.8888888889,Pba,1,3
606,88587,158552,02/LA07316,20,24.6578947368,24.0101010101,Pcc,1,3
570,89145,158500,02/LA06089,7,32.5526315789,10.8787878788,Pcc,1,3
573,88883,158479,02/LA06092,8,29.9210526316,19.9696969697,Pcc,1,3
33,83177,159194,00288-A,,33.797979798,14.2989690722,Pcp,1,3
32,83233,159296,00251C-2010,6.21,26.2222222222,13.0618556701,Pdp,1,3
58,85406,160733,00383A-2010,8.02,33.797979798,14.1958762887,Pba,1,3
250,85318,160474,00978-A,8.44,35.7171717172,23.4742268041,Pca,1,3
406,89640,158567,02/L205826,10,50.9736842105,18.9595959596,Pccz,1,3
688,81950,157668,03/LA02970,,,24.0101010101,Pba,1,3
541,81091,157341,02/LA05635,6,39.1315789474,15.9292929293,Pba,1,3
542,81239,157469,02/LA05636,7,39.1315789474,14.9191919192,Pba,1,3
670,83053,159092,03/LA02252,9,,21.9898989899,Pba,1,3
419,85843,160115,02/LA01183,,29.9210526316,11.8888888889,Pba,1,3
494,85605,160027,02/LA04614,6,44.3947368421,14.9191919192,Pba,1,3
495,85628,160198,02/LA04615,5,37.8157894737,13.9090909091,Pba,1,3
540,82185,158313,02/LA05634,,83.8684210526,16.9393939394,Pba,1,3
370,77911,154490,01142A-2010,25.3,65.6161616162,39.9690721649,Uep,1,1
371,77900,154400,01142A2010,25.3,65.6161616162,39.9690721649,Uep,1,1
481,78160,154075,02/LA04374,49,124.657894737,48.2525252525,Uep,1,1
482,78302,154206,02/LA04375,32,118.078947368,40.1717171717,Uep,1,1
214,79398,153618,00941A2010,4.86,28.7474747475,8.31958762887,Sdc,1,1
65,78133,150204,00408-2010,,102.585858586,62.4432989691,Uep,1,1
538,90369,158172,02/LA05628,,37.8157894737,27.0404040404,uLdc2,1,3
478,88955,154172,02/LA04370,13,47.0263157895,26.0303030303,wLdc2,1,3
69,89237,140850,00418A-2010,11.6,60.2626262626,20.4845360825,uLdc2,1,3
70,89225,140859,00418A2010,,60.2626262626,20.4845360825,uLdc2,1,3
71,89346,140762,00418B-2010,15.1,62.7878787879,23.0618556701,uLdc2,1,3
8,75890,139117,00102B-2010,10.5,42.8888888889,28.4226804124,wLda2,1,3
210,73720,138833,00941-L,9.63,52.0808080808,18.6288659794,wLdc2,1,3
213,73684,138527,00941-O,,55.3131313131,21.618556701,wLdc2,1,3
220,79047,153296,00941F2010,8.59,36.2222222222,19.2474226804,Zcc,1,1
605,89135,156978,02/LA07315,16,33.8684210526,30.0707070707,Ldc,1,3
7,75685,138504,00102A-2010,8.87,38.0404040404,23.2680412371,wLhc2,1,3
423,143986,126710,02/LA01291,19,66.7631578947,12.898989899,Aba(b)1,3,4
9,129050,135000,00102C,10.5,39.7575757576,26.6701030928,Aba(b)1,3,4
10,129050,135000,00102D,13.6,37.1414141414,27.0824742268,Aba(b)1,3,4
557,112412,118936,02/LA05830,22,68.0789473684,30.0707070707,Aca1,3,4
558,112326,118594,02/LA05831,15,60.1842105263,26.0303030303,Ada0,3,4
488,142624,124514,02/LA04381,18,68.0789473684,29.0606060606,ADp,3,4
84,116750,127800,00477C,,102.585858586,60.0721649485,Efp,3,5
328,113576,136218,01040-A,12.7,55.1111111111,32.6494845361,Lba(b)0,3,7
329,113322,136012,01040-C,11.7,43.898989899,23.9896907216,Lba(b)0,3,7
330,113196,136423,01040-E,14.2,51.0707070707,27.1855670103,Lba(b)0,3,7
672,116067,133644,03/LA02254,,,20.9797979798,Lca0,3,7
123,117500,134200,00921I,10.34,49.2323232323,23.4639175258,LDp(c),3,7
676,119059,135935,03/LA02360,,,26.0303030303,Lda0,3,7
41,110465,135829,00289-D,9.64,40.1616161616,15.1237113402,Lca0,3,7
42,110373,135791,00289-DC,9.64,40.1616161616,15.1237113402,Lca0,3,7
43,110418,135819,00289-DE,9.64,40.1616161616,15.1237113402,Lca0,3,7
44,110564,135488,00289-E,10.3,31.5757575758,18.1134020619,Lca0,3,7
17,121050,135800,00156D,13.2,44,23.3711340206,Lca0,3,7
677,119040,136192,03/LA02361,,,26.0303030303,Lca,3,7
255,90875,136205,00978-Q,14.7,74.101010101,36.6701030928,Ldp(c),3,7
45,110430,135430,00289-F,8.36,27.2323232323,13.4742268041,Ldc0,3,7
46,110500,135463,00289-G,,32.2828282828,14.0927835052,Ldc0,3,7
126,117600,133700,00921K,4.47,28.6464646465,9.24742268041,Sca,3,6
124,117900,133900,00921J,4.43,31.898989899,4.40206185567,Sca,3,6
125,118000,133900,00921J2010,4.43,31.898989899,4.40206185567,Sca,3,6
121,117100,134050,00921G,3.18,29.0505050505,15.8453608247,SIp,3,6
122,117275,134100,00921H,3.72,35.2121212121,16.8762886598,SIp,3,6
568,115399,128045,02/LA06087,,61.5,13.9090909091,Sep,3,6
667,117374,133979,03/LA02249,7,,18.9595959596,SDp,3,6
85,116825,127775,00477D,34.4,95.4141414141,43.0618556701,uAep2,3,4
86,116900,127800,00477E,,84.303030303,40.8969072165,uAep2,3,4
6,116100,127900,00080F,23.3,85.2121212121,41,vUgp2,3,5
153,112150,137050,00922MG,9.5,47.8383838384,24.0927835052,Lda1,3,7
608,117511,133519,02/LA07318,4,20.7105263158,13.9090909091,Zca,3,6
561,119751,116203,02/LA05834,,72.0263157895,31.0808080808,AbB,4,4
547,117956,114104,02/LA05644,14,47.0263157895,29.0606060606,Aca1,4,4
559,126966,115656,02/LA05832,13,56.2368421053,26.0303030303,Aca0,4,4
514,117814,114271,02/LA04751,18,60.1842105263,33.101010101,AIp,4,4
36,120024,136183,00289-A,13.1,39.6565656566,19.4536082474,Aba0,2,4
5,155050,136700,00080A,15.6,58.6464646465,26.5670103093,(x)Aba,2,4
174,122500,136100,00923L,,52.0808080808,21.7216494845,(x)ADa,2,4
175,122600,136100,00923L2010,,52.0808080808,21.7216494845,(x)ADa,2,4
176,122500,136100,00923M,10.7,48.3434343434,18.3195876289,(x)ADa,2,4
665,107584,159589,03/LA01677,48,,33.101010101,(x)Aca,2,4
133,109900,141000,00922A,10.2,43.797979798,17.9072164948,Aba(b)0,2,4
189,109900,141100,00923Y,15.9,45.4141414141,14.6082474227,Aba(b)0,2,4
259,106534,157908,00978-U,,64.303030303,45.9484536082,Aba1,2,4
597,107270,159546,02/LA06416,11,43.0789473684,16.9393939394,(x)Lca,2,3
54,107720,157769,00339-A,,42.7878787879,15.8453608247,Aba1,2,4
681,111865,139873,03/LA02365,14,,24.0101010101,Aba(b)0,2,4
80,113250,141100,0045H2009,8.21,51.2727272727,18.6288659794,Aba1,2,4
191,164300,130100,00929E,20.1,61.9797979798,25.6391752577,Aba(b)1,2,4
192,164300,130100,00929F,,61.3737373737,26.2577319588,Aba(b)1,2,4
82,123350,146000,00476B,15.5,43.4949494949,23.3711340206,Aba1,2,4
180,108800,144700,00923O2010,19,59.2525252525,16.4639175258,Aba(b)1,2,4
182,108800,144600,00923P2010,19.5,53.595959596,18.3195876289,Aba(b)1,2,4
183,108900,144500,00923Q,16.3,52.4848484848,19.0412371134,Aba(b)1,2,4
184,108800,144600,00923Q2010,,52.4848484848,19.0412371134,Aba(b)1,2,4
331,109875,140262,01040-G,16.6,54,29.4536082474,Aba(b)1,2,4
567,157034,134204,02/LA05840,,57.5526315789,27.0404040404,Aba(b)1,2,4
171,157400,133700,00923I2010,,50.9696969697,21.412371134,Aba(b)1,2,4
163,111150,140250,00923/WG,8.7,44.303030303,13.0618556701,Aba1,2,4
683,111331,139944,03/LA02367,17,,30.0707070707,Aba1,2,4
156,109150,144600,00923/SC,16.4,46.3232323232,15.1237113402,Aba1,2,4
158,109200,144700,00923/SE,16.4,46.3232323232,15.1237113402,Aba1,2,4
159,109250,144700,00923/SG,16.4,46.3232323232,15.1237113402,Aba1,2,4
179,108900,144700,00923O,19,59.2525252525,16.4639175258,Aba1,2,4
181,108875,144600,00923P,19.5,53.595959596,18.3195876289,Aba1,2,4
637,142257,136542,0296/18215,,73.3421052632,73.6804123711,Aba1,2,4
636,150155,136065,0290/18210,44.4096385542,64.1315789474,83.9896907216,Aba(b)1,2,4
256,110756,158677,00978-R,21.8,57.9393939394,44.6082474227,Aba1,2,4
257,111448,157075,00978-S,23.5,64.6060606061,56.2577319588,Aba1,2,4
579,110815,158218,02/LA06170,11,64.1315789474,35.1212121212,Aba1,2,4
190,165600,130000,00929D,25.5,78.8484848485,24.4020618557,Aba1,2,4
369,112700,141000,01111B,,45.0101010101,20.587628866,Aba1,2,4
269,92492,138422,00978O-2010,25.9,73.797979798,50.8969072165,Aba1,2,4
551,158893,134962,02/LA05655,22,54.9210526316,32.0909090909,Aba1,2,4
242,100794,145798,00965-I,21.1,59.1515151515,40.4845360825,Aba(b)1,2,4
48,107773,138624,00305-A,,46.1212121212,16.7731958763,Aba1,2,4
49,107755,138595,00305-AC,11.4,46.1212121212,16.7731958763,Aba1,2,4
50,107783,138662,00305-AG,,46.1212121212,16.7731958763,Aba1,2,4
682,109461,142845,03/LA02366,20,,32.0909090909,Aba1,2,4
283,110689,155667,00979-O,26.1,63.898989899,54.7113402062,Aba1,2,4
530,113577,158756,02/LA05164,11,44.3947368421,25.0202020202,Aba0,2,4
550,113463,158884,02/LA05654,10,39.1315789474,19.9696969697,Aba0,2,4
273,105519,159307,00979-B,24.4,61.2727272727,49.7628865979,Aba1,2,4
261,104793,159254,00978-W,16,58.0404040404,36.2577319588,Aba1,2,4
281,110108,152801,00979-M,24.8,63.3939393939,53.5773195876,Aba1,2,4
81,127100,142500,00476A,,50.2626262626,15.9484536082,Aba1,2,4
38,110318,139253,00289-C,13.5,45.1111111111,22.4432989691,Aba1,2,4
39,110379,139163,00289-C-AMENDEMENT,,45.1111111111,22.4432989691,Aba1,2,4
40,110428,139080,00289-CC,13.5,45.1111111111,22.4432989691,Aba1,2,4
188,109950,141300,00923X,16.2,45.5151515152,14.2989690722,Aba1,2,4
332,109721,140091,01040-I,15.2,57.5353535353,33.5773195876,Aba1,2,4
675,109804,141166,03/LA02257,17,,30.0707070707,Aba1,2,4
679,109380,140810,03/LA02363,15,,28.0505050505,Aba1,2,4
247,99867,145457,00965D-2010,,74.9090909091,46.7731958763,Aba1,2,4
279,110430,156603,00979-K,,73.0909090909,46.7835051546,Aba1,2,4
284,110831,155580,00979-P,24.9,74.7070707071,51,AbB,2,4
258,100483,158623,00978-T,20.2,78.6464646465,45.3298969072,Aba1,2,4
161,111000,140300,00923/WC,8.7,44.303030303,13.0618556701,Abp(c),2,4
162,111050,140300,00923/WE,8.7,44.303030303,13.0618556701,Abp(c),2,4
678,111070,140254,03/LA02362,15,,25.0202020202,Abp(c),2,4
115,114350,143500,00921A,12.1,52.6868686869,31.7216494845,Abp(c),2,4
116,114350,143500,00921B,14.3,55.0101010101,40.381443299,Abp(c),2,4
117,115150,144100,00921C,11,47.0303030303,27.3917525773,Abp(c),2,4
118,115150,144100,00921D,10.4,50.1616161616,26.1546391753,Abp(c),2,4
476,155266,137649,02/LA04368,,56.2368421053,26.0303030303,Abp(c),2,4
164,157400,131400,00923A2010,22.1,52.9898989899,23.3711340206,Abp(c),2,4
165,157400,131400,00923B2011,20.5,51.4747474747,22.4432989691,Abp(c),2,4
166,157400,131400,00923C2012,,61.0707070707,26.7731958763,Abp(c),2,4
167,157400,131400,00923D2013,24.7,58.6464646465,25.2268041237,Abp(c),2,4
270,93502,139706,00978P-2010,25.9,73.696969697,50.0721649485,Aca1,2,4
105,157200,133900,00823H2010,23.4,56.6262626263,25.6391752577,Abp0,2,4
170,157200,133900,00923G2010,,55.3131313131,26.7731958763,Abp0,2,4
136,112800,138400,00922E,10.5,53.4949494949,29.6597938144,Aca1,2,4
157,109200,144600,00923/SC2010,,46.3232323232,15.1237113402,Abp(c),2,4
154,109300,144500,00923/RC2010,,51.5757575758,26.6701030928,Abp1,2,4
155,109350,144600,00923/RG,20.5,51.5757575758,26.6701030928,Abp1,2,4
186,111150,139900,00923U,17,47.9393939394,17.5979381443,Aca1,2,4
187,111200,139750,00923V,10.5,45.6161616162,17.1855670103,Aca1,2,4
657,106389,140523,03/LA01383,20,,31.0808080808,Aca1,2,4
246,124100,142500,00965C,12.7,46.4242424242,19.9690721649,Aca0,2,4
674,111766,139546,03/LA02256,16,,25.0202020202,Aca0,2,4
653,108550,139963,03/LA01188,16,,30.0707070707,Aca1,2,4
596,108319,158648,02/LA06415,12,41.7631578947,18.9595959596,Aca1,2,4
37,118694,137554,00289-B,,40.3434343434,19.5567010309,Aca1,2,4
282,110078,152211,00979-N,31.2,79.2525252525,71.618556701,Acp,2,4
83,124950,145600,00476C,,49.7575757576,17.4948453608,Aca1,2,4
139,111800,137800,00922F2010,11.4,48.8484848485,27.5979381443,Ada0,2,4
141,111800,137800,00922G2010,12.5,54,29.1443298969,Ada0,2,4
61,103079,160210,00383D-2010,11.6,35.1111111111,23.3711340206,Ada1,2,4
62,102903,160179,00383E-2010,11.9,35.3131313131,21.9278350515,Ada1,2,4
262,105167,159459,00978-X,,73.898989899,46.2577319588,Ada1,2,4
263,105211,159250,00978-Y,16.3,56.4242424242,36.3608247423,Ada1,2,4
271,105209,159243,00978Y,16.3,56.4242424242,36.3608247423,Ada1,2,4
272,105112,159138,00979-A,17.9,66.0202020202,41.824742268,Ada1,2,4
285,105111,159141,00979A,17.9,66.0202020202,41.824742268,Ada1,2,4
128,112450,137950,00922/BE,9.97,44.6060606061,23.2680412371,Aca0,2,4
142,112000,138200,00922H,12.9,55.5151515152,29.7628865979,Aca0,2,4
144,112000,138200,00922I,14.8,58.7474747475,34.4020618557,Aca0,2,4
131,111800,138400,00922/LE2010,,49.5555555556,23.3711340206,Aca1,2,4
132,111900,138400,00922/LG2010,9.67,49.5555555556,23.3711340206,Aca1,2,4
148,111900,138400,00922JG,9.67,49.5555555556,23.3711340206,Aca1,2,4
680,111138,139172,03/LA02364,17,,28.0505050505,Aca1,2,4
55,107926,157545,00339-B,14.9,43.595959596,19.5567010309,Aca1,2,4
146,112300,138500,00922J,11.6,51.6767676768,26.0515463918,Aca1,2,4
147,112368,138517,00922J2010,11.6,51.6767676768,26.0515463918,Aca1,2,4
149,112300,138500,00922K,,50.7676767677,30.0721649485,Aca1,2,4
150,112368,138517,00922K2010,,50.7676767677,30.0721649485,Aca1,2,4
673,111216,138896,03/LA02255,,,30.0707070707,Acp(c),2,4
500,128667,151873,02/LA04621,9,44.3947368421,26.0303030303,Ada0,2,4
47,118800,137600,00289B,11.6,40.3434343434,19.5567010309,Aca0,2,4
130,111850,138450,00922/LE,9.67,49.5555555556,23.3711340206,Acp(c),2,4
357,105300,142900,01079A,13.7,50.6666666667,22.9587628866,Aca0,2,4
358,105300,142900,01079A2010,13.7,50.6666666667,2,Aca0,2,4
244,123700,143900,00965A,16.4,51.7777777778,36.7731958763,Aca1,2,4
51,107907,138497,00305-B-AMENDEMENT,12.4,48.3434343434,18.6288659794,Acp,2,4
276,108856,155837,00979-E,18.6,60.9696969697,39.3505154639,Acp(c),2,4
119,114700,145000,00921E,14.7,50.7676767677,35.5360824742,Acp(c),2,4
120,114700,145000,00921F,12.4,48.7474747475,32.2371134021,Acp(c),2,4
599,107901,159456,02/LA06418,,49.6578947368,20.9797979798,Aca1,2,4
600,107800,159305,02/LA06419,15,56.2368421053,21.9898989899,Aca1,2,4
245,124700,143700,00965B,24.9,62.6868686869,49.2474226804,Aca1,2,4
11,129300,135600,00102E,16.5,41.8787878788,34.6082474227,ADa1,2,4
458,127832,152956,02/LA04045,18,53.6052631579,29.0606060606,Acp0_1,2,4
151,112100,137600,00922MC,9.5,47.8383838384,24.0927835052,Ada0,2,4
152,112100,137650,00922ME,9.5,47.8383838384,24.0927835052,Ada0,2,4
16,123100,138500,00156C,12.6,43.1919191919,20.8969072165,ADa0,2,4
172,122850,136000,00923J,18.4,46.6262626263,20.175257732,ADa1,2,4
173,122850,136000,00923K,16.2,61.6767676768,19.6597938144,ADa1,2,4
575,109706,157781,02/LA06166,14,45.7105263158,10.8787878788,Aca1,2,4
576,109282,157222,02/LA06167,17,57.5526315789,32.0909090909,Aca1,2,4
578,109470,157511,02/LA06169,10,62.8157894737,26.0303030303,Aca1,2,4
20,110320,152959,00215-2010,11.8,43.0909090909,12.8556701031,Acp,2,4
521,158847,132272,02/LA04833,14,54.9210526316,28.0505050505,Acp0,2,4
501,125680,150021,02/LA04622,9,43.0789473684,25.0202020202,Ada1,2,4
127,112400,137900,00922/BC,9.97,44.6060606061,23.2680412371,Ada0,2,4
129,112500,137950,00922/BG,9.97,44.6060606061,23.2680412371,Ada0,2,4
134,112600,138050,00922C,11.3,48.8484848485,27.0824742268,Ada0,2,4
135,112600,138000,00922C2010,11.3,48.8484848485,27.0824742268,Ada0,2,4
